X2,Y2,Z2,x2,y2,z2,delta_x2,delta_y2,delta_z2,delta_xy2,delta_xyz2
-50,40,130,-49.74512573,40.5907864,137.0334558,0.254874266,0.590786404,7.03345585,0.643420133,7.062824552
40,-60,130,39.75564444,-59.29367457,138.1265285,-0.244355561,0.706325428,8.126528503,0.74739899,8.160825372
10,-40,130,9.248194378,-40.57125282,133.570063,-0.751805622,-0.57125282,3.570062983,0.944214741,3.692816158
-20,-70,130,-18.90534324,-69.79473933,138.6466601,1.094656755,0.205260667,8.646660098,1.113734866,8.718092463
-40,-40,130,-40.10231123,-41.18192444,133.2816825,-0.102311229,-1.18192444,3.281682473,1.186344372,3.489534758
40,-10,130,38.64791761,-9.538079109,128.5266781,-1.35208239,0.461920891,-1.473321932,1.428809889,2.052358452
40,10,130,39.05335015,11.24837472,138.0952779,-0.946649848,1.248374716,8.095277934,1.566711641,8.245490294
20,-60,130,21.23816441,-60.98566984,128.4542496,1.238164408,-0.985669841,-1.54575042,1.582591589,2.212225237
0,70,130,1.513972873,70.80320171,127.6180281,1.513972873,0.803201709,-2.381971932,1.713839796,2.934456871
-10,-70,130,-10.16958301,-68.27457597,138.4695644,-0.169583007,1.725424032,8.469564357,1.733737721,8.645193282
20,-10,130,18.33272483,-9.40298995,128.4002016,-1.667275175,0.59701005,-1.599798368,1.770939725,2.386541918
-70,20,130,-70.21501563,18.13829175,138.5258693,-0.215015634,-1.861708252,8.525869315,1.874083599,8.729412175
-40,60,130,-40.47329419,58.1341102,134.2070719,-0.473294185,-1.865889804,4.207071906,1.924981076,4.62655446
-50,0,130,-51.06602141,-1.764193349,138.1006024,-1.06602141,-1.764193349,8.100602413,2.061256854,8.358740293
-30,0,130,-31.7216111,1.134747986,138.8521168,-1.721611101,1.134747986,8.852116843,2.061940294,9.089090735
0,-60,130,1.494266342,-61.42806387,131.4854176,1.494266342,-1.428063871,1.48541757,2.066929685,2.54532192
-20,-60,130,-18.18145609,-61.02665734,128.6623337,1.818543908,-1.026657339,-1.337666294,2.088331209,2.480015797
30,-70,130,30.99117308,-68.15721409,126.9420796,0.991173085,1.842785909,-3.05792045,2.092434943,3.705288311
10,-50,130,8.27315275,-48.75392337,131.0014528,-1.72684725,1.246076633,1.001452766,2.129485477,2.353213981
-70,-40,130,-69.89996104,-42.13359206,126.4812387,0.10003896,-2.133592064,-3.518761302,2.135936069,4.116297364
30,30,130,32.09676108,29.56789718,124.4613378,2.096761077,-0.432102824,-5.538662188,2.14082224,5.938004606
70,-60,130,69.9627169,-62.20569869,135.7602147,-0.037283099,-2.205698688,5.760214739,2.206013765,6.168190218
-30,50,130,-30.81254505,52.10934254,131.9513725,-0.812545053,2.109342539,1.951372509,2.260432572,2.986203289
-60,-20,130,-58.88320494,-21.99231453,130.6220541,1.116795058,-1.992314526,0.622054051,2.283976438,2.367171226
30,-20,130,31.8614453,-18.63719257,137.9148026,1.861445295,1.362807434,7.914802619,2.306994298,8.244169042
10,70,130,11.33119607,71.91578406,136.1063521,1.331196067,1.915784056,6.106352052,2.332876233,6.536807088
30,0,130,29.69166607,2.317975833,136.6466126,-0.308333928,2.317975833,6.646612591,2.33839299,7.045959176
-20,40,130,-22.14367682,40.96908074,136.1759439,-2.143676823,0.969080736,6.175943949,2.352544961,6.608838888
-70,60,130,-72.28774354,59.40956385,137.3837046,-2.287743536,-0.590436154,7.383704636,2.362707206,7.752514398
60,-50,130,58.21626298,-48.41493773,135.5998443,-1.783737021,1.585062274,5.599844305,2.386239756,6.087067965
10,60,130,12.0959939,61.23296745,127.1831691,2.095993902,1.232967448,-2.816830942,2.431748171,3.721281462
0,-20,130,-0.090555828,-22.46524214,138.60385,-0.090555828,-2.465242135,8.603849975,2.46690477,8.950522529
-30,40,130,-30.98924483,37.71969009,139.5804844,-0.989244833,-2.280309913,9.580484413,2.4856425,9.897681558
-50,-50,130,-52.15488997,-51.24554323,134.7719607,-2.154889973,-1.245543226,4.771960662,2.488961375,5.382056976
20,-70,130,17.9721124,-68.5404377,139.2585872,-2.027887599,1.4595623,9.258587159,2.498529611,9.589790738
-60,70,130,-60.2994175,67.4808335,138.2695921,-0.299417504,-2.519166495,8.269592052,2.536897844,8.649971294
70,-70,130,68.2711915,-71.88810783,129.2669561,-1.728808497,-1.888107827,-0.733043945,2.560025387,2.662908825
-30,-20,130,-32.53839772,-20.57788244,138.4813643,-2.538397717,-0.577882437,8.48136426,2.603346132,8.871919228
60,60,130,59.57853126,62.58025601,136.5657361,-0.421468743,2.580256013,6.565736129,2.614451567,7.067124444
-50,-60,130,-48.25185002,-58.04773545,137.1674559,1.748149978,1.952264551,7.167455862,2.620565821,7.631499771
20,-40,130,17.48748877,-40.76355686,136.2492641,-2.512511234,-0.763556855,6.249264074,2.625972539,6.778571622
-50,70,130,-47.51748964,69.09769435,133.3489732,2.482510363,-0.90230565,3.348973222,2.64140364,4.265282503
-30,-60,130,-28.08486068,-61.82574721,132.2664022,1.91513932,-1.825747205,2.266402155,2.645961352,3.483918799
40,-20,130,42.25516806,-21.4261053,137.535017,2.255168055,-1.426105305,7.535017025,2.668250231,7.993499913
-30,60,130,-28.86461053,62.42145262,136.6043349,1.135389468,2.421452617,6.604334949,2.67442368,7.125291723
40,-30,130,37.54588799,-31.07667559,136.8342352,-2.45411201,-1.07667559,6.834235165,2.679905984,7.340890026
40,50,130,39.24152682,47.41915687,134.0556851,-0.758473178,-2.580843132,4.055685149,2.689987516,4.866684175
-50,60,130,-47.53539901,61.09975875,138.2485897,2.464600988,1.099758753,8.248589659,2.698838147,8.678880037
50,40,130,52.61889606,39.26627431,128.8512256,2.618896061,-0.733725691,-1.148774388,2.719737114,2.952397765
20,0,130,21.58050268,2.228419546,127.0468462,1.580502678,2.228419546,-2.953153772,2.732003365,4.023053516
30,-30,130,31.56910074,-32.32208909,138.1110405,1.569100743,-2.322089094,8.111040512,2.80253009,8.581558896
50,10,130,49.47591989,12.75695685,130.1136456,-0.524080106,2.756956851,0.113645638,2.806326965,2.808627132
70,50,130,67.26223401,49.26725952,124.0746729,-2.73776599,-0.732740476,-5.92532713,2.834126183,6.568239705
50,30,130,52.78958544,29.34963441,137.9191359,2.789585443,-0.650365591,7.919135929,2.864395634,8.421251464
10,20,130,7.660625956,18.32233552,131.9010807,-2.339374044,-1.677664481,1.90108074,2.87875477,3.449831446
-50,-20,130,-47.7206007,-21.77696677,127.3157862,2.279399304,-1.776966768,-2.684213823,2.890202775,3.944398044
-40,40,130,-39.48678633,37.09689989,129.3687254,0.513213675,-2.903100105,-0.631274567,2.948114397,3.014943793
60,10,130,59.02688921,7.198894583,135.8588852,-0.973110786,-2.801105417,5.858885178,2.965322269,6.566557065
30,-40,130,27.22027393,-41.05262769,128.8183837,-2.779726069,-1.05262769,-1.18161627,2.972356317,3.198612055
30,10,130,31.06609678,12.78446558,127.4853527,1.066096784,2.784465582,-2.514647319,2.981578597,3.900418192
10,50,130,8.289067268,47.54665153,137.5627982,-1.710932732,-2.453348473,7.562798151,2.991021489,8.132780916
70,-50,130,72.10612288,-47.83615472,136.9098609,2.106122885,2.163845276,6.909860886,3.019599309,7.540832676
-10,-20,130,-8.404286208,-22.5660304,125.5817181,1.595713792,-2.566030404,-4.418281919,3.021723769,5.352759069
0,-40,130,1.154879818,-42.81268895,129.6336195,1.154879818,-2.812688954,-0.366380465,3.040553658,3.062548153
-20,60,130,-18.1124269,62.38683508,137.8949062,1.887573099,2.386835078,7.894906215,3.043010662,8.461055374
10,0,130,9.294855479,2.967267471,131.1015988,-0.705144521,2.967267471,1.101598846,3.049902464,3.242749614
0,-70,130,0.079779561,-66.93159122,124.5776447,0.079779561,3.068408782,-5.422355303,3.069445753,6.230845389
