X2,Y2,Z2,x2,y2,z2,delta_x2,delta_y2,delta_z2,delta_xy2,delta_xyz2
-20,-20,130,-16.14748245,-21.94620405,131.568239,3.85251755,-1.946204051,1.568239033,4.316202229,4.59227344
-70,-10,130,-67.58566214,-7.165467003,127.2938728,2.414337862,2.834532997,-2.706127177,3.723386177,4.602904401
-60,-40,130,-61.88588539,-36.88266305,132.9755003,-1.88588539,3.117336954,2.975500345,3.643398604,4.704036107
60,-50,130,59.85997493,-46.62704294,126.7100386,-0.140025073,3.372957056,-3.28996135,3.375862308,4.713840473
20,50,130,23.83887355,47.777586,131.602133,3.838873552,-2.222413999,1.602133029,4.435772101,4.716238371
-70,20,130,-65.56211603,19.03618897,131.6332546,4.437883971,-0.963811026,1.633254617,4.54133745,4.826102618
30,30,130,34.42446918,31.25180906,131.4661078,4.424469178,1.251809061,1.466107784,4.598146739,4.826222692
40,-70,130,42.200062,-72.03265289,133.8949207,2.200061998,-2.032652894,3.894920685,2.995321449,4.913487328
-30,-70,130,-26.15740529,-69.76095152,133.1241882,3.84259471,0.239048477,3.124188171,3.850023153,4.95814784
-10,10,130,-8.841847255,14.40923026,132.0047402,1.158152745,4.409230259,2.004740184,4.55879691,4.980121732
-60,20,130,-60.06654502,22.69299863,125.8109027,-0.066545019,2.692998628,-4.189097318,2.693820679,4.980482526
70,-30,130,73.28106825,-26.95818209,132.3368368,3.281068247,3.041817909,2.336836785,4.474155231,5.047659972
40,-30,130,39.3575806,-32.71114678,134.2157714,-0.642419402,-2.711146777,4.215771449,2.786219577,5.053290853
-30,40,130,-24.92885606,39.55314992,129.4137814,5.071143944,-0.446850076,-0.586218611,5.090793248,5.124434422
50,70,130,49.45302174,75.0747439,129.4940084,-0.546978265,5.074743902,-0.505991634,5.104136645,5.129155722
40,-60,130,38.51430187,-58.47316213,134.7024094,-1.48569813,1.526837869,4.702409414,2.130383255,5.162478776
70,-50,130,69.91465319,-50.94720555,124.9050595,-0.085346805,-0.947205553,-5.094940521,0.951042815,5.182943309
-50,60,130,-47.18070732,60.32005584,125.6442092,2.819292676,0.320055841,-4.355790789,2.83740144,5.198438258
-30,20,130,-30.65277694,18.0883907,125.1722835,-0.652776942,-1.911609305,-4.827716541,2.019992047,5.233279552
30,-60,130,33.88030765,-59.21510613,126.464235,3.880307653,0.784893869,-3.535765042,3.958894526,5.307963856
-40,70,130,-39.76359837,72.44649142,125.2222422,0.23640163,2.446491419,-4.777757774,2.45788649,5.372911254
10,-20,130,11.85924593,-21.87651586,134.7761924,1.859245934,-1.876515856,4.776192384,2.641610721,5.458032694
0,70,130,0.272411411,67.97009499,124.8456801,0.272411411,-2.029905007,-5.154319912,2.048102125,5.546326358
10,60,130,8.411617033,62.97127697,125.5930059,-1.588382967,2.971276972,-4.406994071,3.369190896,5.547345675
-50,-10,130,-44.42351661,-10.56841493,130.2599091,5.576483394,-0.56841493,0.259909121,5.605378005,5.611400478
-70,-70,130,-68.66603544,-69.10624275,135.3810144,1.333964561,0.893757255,5.381014363,1.605697194,5.615476743
-20,70,130,-16.67302501,74.61385736,129.6671696,3.326974993,4.613857361,-0.332830422,5.688272352,5.698001267
-20,0,130,-21.0979721,5.298662455,131.9008496,-1.097972096,5.298662455,1.900849616,5.411225973,5.735381051
-10,30,130,-9.319110602,32.05605671,135.3429261,0.680889398,2.056056709,5.342926095,2.165866931,5.765226693
-30,-50,130,-27.86549528,-52.75773414,134.5952459,2.134504721,-2.757734143,4.595245931,3.48729236,5.768664765
-10,-70,130,-7.978130349,-71.2803801,124.6490589,2.021869651,-1.280380103,-5.350941055,2.393184091,5.861731849
70,50,130,72.6632185,50.80930134,135.1699855,2.663218504,0.809301343,5.169985547,2.783469321,5.871665183
10,40,130,9.183810344,38.0222265,124.5193832,-0.816189656,-1.977773499,-5.480616813,2.139568547,5.883444078
